date,mean_temperature,daylength,site,PAR_incident
2018_11_13,13,13,treatment_1,100000
2018_11_14,13,13,treatment_1,100000
2018_11_15,13,13,treatment_1,100000
2018_11_16,13,13,treatment_1,100000
2018_11_17,13,13,treatment_1,100000
2018_11_18,13,13,treatment_1,100000
2018_11_19,13,13,treatment_1,100000
2018_11_20,13,13,treatment_1,100000
2018_11_21,13,13,treatment_1,100000
2018_11_22,13,13,treatment_1,100000
2018_11_23,13,13,treatment_1,100000
2018_11_24,13,13,treatment_1,100000
2018_11_25,13,13,treatment_1,100000
2018_11_26,13,13,treatment_1,100000
2018_11_27,13,13,treatment_1,100000
2018_11_28,13,13,treatment_1,100000
2018_11_29,13,13,treatment_1,100000
2018_11_30,13,13,treatment_1,100000
2018_12_01,13,13,treatment_1,100000
2018_12_02,13,13,treatment_1,100000
2018_12_03,13,13,treatment_1,100000
2018_12_04,13,13,treatment_1,100000
2018_12_05,13,13,treatment_1,100000
2018_12_06,13,13,treatment_1,100000
2018_12_07,13,13,treatment_1,100000
2018_12_08,13,13,treatment_1,100000
2018_12_09,13,13,treatment_1,100000
2018_12_10,13,13,treatment_1,100000
2018_12_11,13,13,treatment_1,100000
2018_12_12,13,8,treatment_1,100000
2018_12_13,13,8,treatment_1,100000
2018_12_14,13,8,treatment_1,100000
2018_12_15,13,8,treatment_1,100000
2018_12_16,13,8,treatment_1,100000
2018_12_17,13,8,treatment_1,100000
2018_12_18,13,8,treatment_1,100000
2018_12_19,13,8,treatment_1,100000
2018_12_20,13,8,treatment_1,100000
2018_12_21,13,8,treatment_1,100000
2018_12_22,13,8,treatment_1,100000
2018_12_23,13,8,treatment_1,100000
2018_12_24,13,8,treatment_1,100000
2018_12_25,13,8,treatment_1,100000
2018_12_26,13,8,treatment_1,100000
2018_12_27,13,8,treatment_1,100000
2018_12_28,13,8,treatment_1,100000
2018_12_29,13,8,treatment_1,100000
2018_12_30,13,8,treatment_1,100000
2018_12_31,13,8,treatment_1,100000
2019_01_01,13,8,treatment_1,100000
2019_01_02,13,8,treatment_1,100000
2019_01_03,13,8,treatment_1,100000
2019_01_04,13,8,treatment_1,100000
2019_01_05,13,8,treatment_1,100000
2019_01_06,13,8,treatment_1,100000
2019_01_07,13,8,treatment_1,100000
2019_01_08,13,8,treatment_1,100000
2019_01_09,13,8,treatment_1,100000
2019_01_10,13,8,treatment_1,100000
2019_01_11,13,8,treatment_1,100000
2019_01_12,13,8,treatment_1,100000
2019_01_13,13,8,treatment_1,100000
2019_01_14,13,8,treatment_1,100000
2019_01_15,13,8,treatment_1,100000
2019_01_16,13,8,treatment_1,100000
2019_01_17,13,8,treatment_1,100000
2019_01_18,13,8,treatment_1,100000
2019_01_19,13,8,treatment_1,100000
2019_01_20,13,8,treatment_1,100000
2019_01_21,13,8,treatment_1,100000
2019_01_22,13,8,treatment_1,100000
2019_01_23,13,8,treatment_1,100000
2019_01_24,13,8,treatment_1,100000
2019_01_25,13,8,treatment_1,100000
2019_01_26,13,8,treatment_1,100000
2019_01_27,13,8,treatment_1,100000
2019_01_28,13,8,treatment_1,100000
2019_01_29,13,8,treatment_1,100000
2019_01_30,13,8,treatment_1,100000
2019_01_31,13,8,treatment_1,100000
2019_02_01,13,8,treatment_1,100000
2019_02_02,13,8,treatment_1,100000
2019_02_03,13,8,treatment_1,100000
2019_02_04,13,8,treatment_1,100000
2019_02_05,13,8,treatment_1,100000
2019_02_06,13,8,treatment_1,100000
2019_02_07,13,8,treatment_1,100000
2019_02_08,13,8,treatment_1,100000
2019_02_09,13,8,treatment_1,100000
2019_02_10,13,8,treatment_1,100000
2019_02_11,13,16,treatment_1,100000
2019_02_12,13,16,treatment_1,100000
2019_02_13,13,16,treatment_1,100000
2019_02_14,13,16,treatment_1,100000
2019_02_15,13,16,treatment_1,100000
2019_02_16,13,16,treatment_1,100000
2019_02_17,13,16,treatment_1,100000
2019_02_18,13,16,treatment_1,100000
2019_02_19,13,16,treatment_1,100000
2019_02_20,13,16,treatment_1,100000
2019_02_21,13,16,treatment_1,100000
2019_02_22,13,16,treatment_1,100000
2019_02_23,13,16,treatment_1,100000
2019_02_24,13,16,treatment_1,100000
2019_02_25,13,16,treatment_1,100000
2019_02_26,13,16,treatment_1,100000
2019_02_27,13,16,treatment_1,100000
2019_02_28,13,16,treatment_1,100000
2019_03_01,13,16,treatment_1,100000
2019_03_02,13,16,treatment_1,100000
2019_03_03,13,16,treatment_1,100000
2019_03_04,13,16,treatment_1,100000
2019_03_05,13,16,treatment_1,100000
2019_03_06,13,16,treatment_1,100000
2019_03_07,13,16,treatment_1,100000
