date,mean_temperature,daylength,site,PAR_incident
2000_04_01,15,12.79944444,QUELQUEPART,
2000_04_02,15,12.85416667,QUELQUEPART,
2000_04_03,15,12.90888889,QUELQUEPART,
2000_04_04,15,12.96333333,QUELQUEPART,
2000_04_05,15,13.01777778,QUELQUEPART,
2000_04_06,15,13.0725,QUELQUEPART,
2000_04_07,15,13.12638889,QUELQUEPART,
2000_04_08,15,13.18055556,QUELQUEPART,
2000_04_09,15,13.23472222,QUELQUEPART,
2000_04_10,15,13.28861111,QUELQUEPART,
2000_04_11,15,13.34222222,QUELQUEPART,
2000_04_12,15,13.39583333,QUELQUEPART,
2000_04_13,15,13.44944444,QUELQUEPART,
2000_04_14,15,13.50277778,QUELQUEPART,
2000_04_15,15,13.55583333,QUELQUEPART,
2000_04_16,15,13.60833333,QUELQUEPART,
2000_04_17,15,13.66111111,QUELQUEPART,
2000_04_18,15,13.71361111,QUELQUEPART,
2000_04_19,15,13.76583333,QUELQUEPART,
2000_04_20,15,13.81777778,QUELQUEPART,
2000_04_21,15,13.86944444,QUELQUEPART,
2000_04_22,15,13.92083333,QUELQUEPART,
2000_04_23,15,13.97194444,QUELQUEPART,
2000_04_24,15,14.02277778,QUELQUEPART,
2000_04_25,15,14.07333333,QUELQUEPART,
2000_04_26,15,14.12361111,QUELQUEPART,
2000_04_27,15,14.17333333,QUELQUEPART,
2000_04_28,15,14.22305556,QUELQUEPART,
2000_04_29,15,14.27222222,QUELQUEPART,
2000_04_30,15,14.32083333,QUELQUEPART,
2000_05_01,15,14.36916667,QUELQUEPART,
2000_05_02,15,14.41722222,QUELQUEPART,
2000_05_03,15,14.46472222,QUELQUEPART,
2000_05_04,15,14.51166667,QUELQUEPART,
2000_05_05,15,14.55861111,QUELQUEPART,
2000_05_06,15,14.60444444,QUELQUEPART,
2000_05_07,15,14.65027778,QUELQUEPART,
2000_05_08,15,14.69527778,QUELQUEPART,
2000_05_09,15,14.73972222,QUELQUEPART,
2000_05_10,15,14.78361111,QUELQUEPART,
2000_05_11,15,14.82722222,QUELQUEPART,
2000_05_12,15,14.87,QUELQUEPART,
2000_05_13,15,14.91194444,QUELQUEPART,
2000_05_14,15,14.95361111,QUELQUEPART,
2000_05_15,15,14.99444444,QUELQUEPART,
2000_05_16,15,15.03472222,QUELQUEPART,
2000_05_17,15,15.07416667,QUELQUEPART,
2000_05_18,15,15.11277778,QUELQUEPART,
2000_05_19,15,15.15055556,QUELQUEPART,
2000_05_20,15,15.18777778,QUELQUEPART,
2000_05_21,15,15.22388889,QUELQUEPART,
2000_05_22,15,15.25944444,QUELQUEPART,
2000_05_23,15,15.29416667,QUELQUEPART,
2000_05_24,15,15.32805556,QUELQUEPART,
2000_05_25,15,15.36055556,QUELQUEPART,
2000_05_26,15,15.3925,QUELQUEPART,
2000_05_27,15,15.42333333,QUELQUEPART,
2000_05_28,15,15.45333333,QUELQUEPART,
2000_05_29,15,15.48222222,QUELQUEPART,
2000_05_30,15,15.51,QUELQUEPART,
2000_05_31,15,15.53694444,QUELQUEPART,
2000_06_01,15,15.56277778,QUELQUEPART,
2000_06_02,15,15.5875,QUELQUEPART,
