date,mean_temperature,daylength,site,PAR_incident
2018_11_13,4,10,treatment_1,4
2018_11_14,4,10,treatment_1,4
2018_11_15,4,10,treatment_1,4
2018_11_16,4,10,treatment_1,4
2018_11_17,4,10,treatment_1,4
2018_11_18,4,10,treatment_1,4
2018_11_19,4,10,treatment_1,4
2018_11_20,4,10,treatment_1,4
2018_11_21,4,10,treatment_1,4
2018_11_22,4,10,treatment_1,4
2018_11_23,4,10,treatment_1,4
2018_11_24,4,10,treatment_1,4
2018_11_25,4,10,treatment_1,4
2018_11_26,4,10,treatment_1,4
2018_11_27,4,10,treatment_1,4
2018_11_28,4,10,treatment_1,4
2018_11_29,4,10,treatment_1,4
2018_11_30,4,10,treatment_1,4
2018_12_01,4,10,treatment_1,4
2018_12_02,4,10,treatment_1,4
2018_12_03,4,10,treatment_1,4
2018_12_04,4,10,treatment_1,4
2018_12_05,4,10,treatment_1,4
2018_12_06,4,10,treatment_1,4
2018_12_07,4,10,treatment_1,4
2018_12_08,4,10,treatment_1,4
2018_12_09,4,10,treatment_1,4
2018_12_10,4,10,treatment_1,4
2018_12_11,4,10,treatment_1,4
2018_12_12,4,8,treatment_1,4
2018_12_13,4,8,treatment_1,4
2018_12_14,4,8,treatment_1,4
2018_12_15,4,8,treatment_1,4
2018_12_16,4,8,treatment_1,4
2018_12_17,4,8,treatment_1,4
2018_12_18,4,8,treatment_1,4
2018_12_19,4,8,treatment_1,4
2018_12_20,4,8,treatment_1,4
2018_12_21,4,8,treatment_1,2
2018_12_22,4,8,treatment_1,2
2018_12_23,4,8,treatment_1,2
2018_12_24,4,8,treatment_1,2
2018_12_25,4,8,treatment_1,2
2018_12_26,4,8,treatment_1,2
2018_12_27,4,8,treatment_1,2
2018_12_28,4,8,treatment_1,2
2018_12_29,4,8,treatment_1,2
2018_12_30,4,8,treatment_1,2
2018_12_31,4,8,treatment_1,2
2019_01_01,4,8,treatment_1,2
2019_01_02,4,8,treatment_1,2
2019_01_03,4,8,treatment_1,2
2019_01_04,4,8,treatment_1,2
2019_01_05,4,8,treatment_1,2
2019_01_06,4,8,treatment_1,2
2019_01_07,4,8,treatment_1,2
2019_01_08,4,8,treatment_1,2
2019_01_09,4,8,treatment_1,2
2019_01_10,4,8,treatment_1,2
2019_01_11,4,8,treatment_1,2
2019_01_12,4,8,treatment_1,2
2019_01_13,4,8,treatment_1,2
2019_01_14,4,8,treatment_1,2
2019_01_15,4,8,treatment_1,2
2019_01_16,4,8,treatment_1,2
